# 年, 10aあたりの水稲収穫量(kg), 10aあたりのみかん収穫量(kg)
1982, 458, 2370
1983, 459, 2470
1984, 517, 1810
1985, 501, 2340
1986, 508, 2110
1987, 498, 2530
1988, 474, 2110
1989, 496, 2560
1990, 509, 2240
1991, 470, 2210
1992, 504, 2430
1993, 367, 2180
1994, 544, 1870
1995, 509, 2110
1996, 525, 1820
1997, 515, 2510
1998, 499, 1980
1999, 515, 2430
2000, 537, 1960
2001, 532, 2280
2002, 527, 2060
2003, 469, 2140
2004, 514, 2030
2005, 532, 2200
2006, 507, 1680
2007, 522, 2160
2008, 543, 1880
2009, 522, 2130
2010, 522, 1700
